STUFF LIST - 1  
24AA025E48T-I/SN 24AA025E48T-I/SN         IC14            

----------------

571-0112F        571-0112F                LD1             
571-0112F        571-0112F                LD2             

----------------

74LCX04MTC-VCC=P3V3 74LCX04MTC               IC17            

----------------

ADN2814ACPZ-VCC=P3V3,VEE=GND ADN2814ACPZ              IC12            

----------------

ADP3367ARZ       ADP3367ARZ               IC13            

----------------

CAPCERSMDCL1_0603-15PF,50V CC0603_15PF_50V_5%_NP0   C19             

----------------

CAPCERSMDCL2_0402-1.0NF,50V_GEN CC0402_1NF_50V_10%_X7R   C30             
CAPCERSMDCL2_0402-1.0NF,50V_GEN CC0402_1NF_50V_10%_X7R   C34             
CAPCERSMDCL2_0402-1.0NF,50V_GEN CC0402_1NF_50V_10%_X7R   C37             
CAPCERSMDCL2_0402-1.0NF,50V_GEN CC0402_1NF_50V_10%_X7R   C41             

----------------

CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C1              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C2              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C3              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C4              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C5              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C6              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C7              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C8              
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C10             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C11             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C13             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C14             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C15             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C16             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C17             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C18             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C20             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C21             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C22             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C23             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C24             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C25             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C26             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C27             
