Cross Section Report
P:/cad/designs/uob-hep-pc053a/trunk/design_files/worklib/pc053a_toplevel/physical/pc053a_toplevel_33_ans_16-5_routed.brd
Thu Nov 10 10:17:47 2016

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Single Impedance (ohm),Coupling Type,Spacing (MM),Differential Impedance (ohm),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,0,1,0,,,,,,,,,
TOP,CONDUCTOR,COPPER,0.034,595900,4.5,0,,,0.17,80.472,EDGE,0.13,101.19,,
,DIELECTRIC,FR-4,0.3048,0,4.5,0.035,,,,,,,,,
L2GND,PLANE,COPPER,0.017,595900,4.5,0.035,,Yes,,,,,,,
,DIELECTRIC,FR-4,0.2835,0,4.5,0.035,,,,,,,,,
INNER3,CONDUCTOR,COPPER,0.017,595900,4.5,0.035,,,0.15,67.377,EDGE,0.13,93.117,,
,DIELECTRIC,FR-4,0.26,0,4.5,0.035,,,,,,,,,
INNER4,CONDUCTOR,COPPER,0.017,595900,4.5,0.035,,,0.15,67.377,EDGE,0.13,93.117,,
,DIELECTRIC,FR-4,0.2835,0,4.5,0.035,,,,,,,,,
L3PWR,PLANE,COPPER,0.017,595900,4.5,0.035,,Yes,,,,,,,
,DIELECTRIC,FR-4,0.3048,0,4.5,0.035,,,,,,,,,
BOTTOM,CONDUCTOR,COPPER,0.034,595900,4.5,0,,,0.17,80.472,EDGE,0.13,101.19,,
,SURFACE,AIR,,0,1,0,,,,,,,,,

Total Thickness: 1.5726 MM
